gene_id	1	all_lost	elegans_lost	sp34_lost	domain	life_stage	phenotype	reference_count	tissue	interaction	EMB_0	4_cell	EMB_30	EMB_60	EMB_90	EMB_120	EMB_150	EMB_180	EMB_210	EMB_240	EMB_270	EMB_300	EMB_330	EMB_360	EMB_390	EMB_420	EMB_450	EMB_480	EMB_510	EMB_540	EMB_570	EMB_600	L1	L2	L3	L4_her	young_adult_her	old_adult_her	male	adult_soma_her	adult_gonad_her	dauer_entry	dauer	dauer_exit
CELEG.AH6.2	1	0	0	0	2	16	0	1	2	0	0	3	4	5.5	4.33333	1.66667	0.666667	2.33333	11	2	7.5	13.6667	5.5	24.6667	3	11.5	13.5	7	2	31	4	2.5	4	5.5	138	83.5	148	22	776.5	85.5	7470	24	59	412
CELEG.AH6.3	1	0	0	0	0	15	0	0	57	1	0	21	4.5	2.5	4	3.66667	4	0	0	4	6.5	3.33333	9.5	10.6667	2	18.5	6.5	23	5	22	0	0	3.5	26	118.5	109	67	17	716.5	105	7606	3	7.5	242.667
CELEG.AH6.4	1	0	0	0	3	5	0	5	6	0	0	0	8	0	0	1.33333	3	4	0	5.66667	4.5	6.66667	4	25.6667	14	31	26.5	39	18	19	5	0	9	0	8	0	0.5	0	4.5	1	655	37.75	106.5	31.6667
CELEG.AH6.5	1	0	0	0	3	20	29	23	9	29	71545.5	54406	15493	7102.5	2502	2481.33	1483.33	1295.33	1297	1283.33	1175	829	1480	794	1968	1127.5	1384.5	1305	1612	2700	2522	20082.5	62	156	924	2005	35157.5	13703	1314	3517.5	1107677	402.25	1123	871.667
CELEG.AH6.6	1	0	0	0	3	2	0	3	5	0	0	5	0	0	2.66667	1.66667	0	5.66667	0	2.33333	3	7	5.5	9.33333	0	6.5	7.5	17	2	12	0	1	5.5	0	2.5	0	0	0	0	0	177	27.75	104.25	8
CELEG.AH6.7	1	0	0	0	2	0	1	3	0	1	0	2	0	0	0.666667	0.333333	1.33333	0.666667	0	1	2.5	2.33333	4	44.6667	0	18.5	5.5	22	5	28	8	0	5.5	1	3	1	2	0	3	3.5	507	34	43.75	28.3333
CELEG.AH6.8	1	0	0	0	2	12	0	3	3	0	0	0	6	2	1	1.66667	1.33333	0	0	2.66667	2.5	4.66667	4.5	5	0	10.5	10.5	9	18	2	2	0	7	2.5	3.5	0	0	0	2	0	385	22	117	56.3333
CELEG.AH9.1	1	0	0	0	2	0	1	1	0	2	149	111	98	125.5	118.667	189.333	170	217.333	186	200	282.5	285	237.5	196.333	267	286	471	254	220	493	474	93	322.5	60	123	16	48	5	31.5	28.5	9971	136.5	203.75	208.333
CELEG.AH9.2	1	0	0	0	1	15	2	4	8	9	4126.5	3775	1329	962	594.667	592.667	472	345.333	466	214.667	222.5	113.333	172.5	120.667	171	186.5	180	200	249	491	326	1480.5	102	61	180	123	825	1017	120.5	170	53818	47.25	73.75	139
CELEG.AH9.3	1	0	0	0	2	17	0	0	2	0	2094	2110	3558	2861.5	2368.33	3083	2573.67	2035.67	2168	1658.67	1913.5	1526.33	1923	953	1878	1123	943.5	977	1063	1619	1055	2758	442	229.5	375	279.5	567	240	267.5	244.5	118028	537.75	714.75	384.667
CELEG.AH9.4	1	0	0	0	2	9	0	0	3	0	7	2	0	2.5	2.66667	9.33333	8.66667	5	2	8.33333	11	44.3333	21	71	13	62	272.5	39	47	181	124	2.5	338	18	54.5	4	5	0	33	21.5	5117	228.5	352.5	184.667
CELEG.AH9.6	1	0	1	0	1	10	0	0	8	0	2.5	3	4.5	1	1.33333	0	1.66667	9	0	6.33333	17	64	56.5	177.333	8	117.5	722	130	134	323	204	7	1916.5	182.5	284.5	52	28	0	182.5	62	24285	677.5	1257.75	683.333
CELEG.B0001.1	1	0	0	0	2	18	5	5	20	9	4583.5	5432	1632.5	1079	538.333	602	614.333	1195.67	476	1879.33	1579	3261.33	3414.5	3773.33	2818	4255	5424	3503	4388	9578	5059	2950.5	5047	1201.5	2337	1237	4115.5	4586	1065	1209.5	299245	2345.25	4300.75	2236.67
CELEG.B0001.2	1	0	0	0	1	16	1	2	4	3	524.5	2927	925.5	669	522.333	654	569.667	400	436	505	594.5	558.333	513	530.667	654	588.5	1299	435	613	639	627	1016.5	484.5	820.5	1766	410	3765.5	3780	1402.5	2270.5	132000	1503.25	5682.5	3192
CELEG.B0001.3	1	0	0	0	1	14	0	0	5	0	2027	2040	1731.5	2021.5	1465.67	2447	2315	2460	2312	2146.33	2955.5	2528	2487	1781	2823	2198	3563	1460	1670	2896	1771	1266.5	3100	958.5	1855.5	551.5	2393	3182	838	1045.5	197562	2074.75	4444.5	4389
CELEG.B0001.4	1	0	0	0	9	17	0	2	12	1	6294	9557	3835.5	2043	1503.67	1981.67	2074	2112.33	2057	1861.67	2293	2123.67	2476	1912	3338	2647	5285.5	2335	2570	3124	2535	4996	1725	1235	2517.5	961	3317	3721	1230.5	1540.5	245286	3570.75	6483	3845.67
CELEG.B0001.5	1	1	0	0	2	14	0	0	5	0	1422.5	1862	1678	1449.5	1206	1852.67	2033.33	1939.33	1865	2010	2236	1837.33	2173	1281.67	2082	1680	2797.5	1304	1469	1370	1222	1148.5	2582.5	872.5	2368.5	453.5	2512.5	1830	675	734.5	167036	1393.75	4293	2463
CELEG.B0001.6	1	0	1	1	4	19	1	2	5	3	3677	6405	6777	6049.5	6094.67	8309.33	11882.7	13248.7	11419	15259	17205.5	17706	21870.5	14550.3	25859	21897.5	20756	20810	20764	21040	19048	4762.5	7996	3489	10620	1257	3631	1663	2386	2049	985004	14269	65169.8	28178.3
CELEG.B0001.7	1	0	0	0	0	14	2	0	2	2	8536.5	10839	4796	2697	1066.33	813	580.667	497.667	513	479.333	498	471	626	415	781	652	901.5	571	745	934	879	4398.5	242.5	439	1247	288	3973	6818	693	1242.5	194330	790.25	3330	1612
CELEG.B0001.8	1	0	0	0	0	14	0	0	3	0	4406	4610	2807	2022	1194.33	1701	1516	1251	1217	1227	1453.5	1168.33	1244.5	813.333	1266	1058.5	2286.5	842	799	1320	918	2679.5	1391	498.5	987.5	267.5	2205	3277	494.5	686.5	153132	1439	2958	2220.67
CELEG.B0019.1	1	0	0	0	13	18	3	3	10	4	31	57	155.5	160	185.333	416.333	639	838.333	715	1020.33	1207.5	698.333	714.5	1074.33	700	426.5	3084	295	379	620	604	45	2319	1333.5	1910.5	947.5	970	17	1908	1495.5	96159	1632	2679.5	2288.33
CELEG.B0019.2	1	0	0	0	5	12	0	0	1	1	1747.5	2982	2269	1707	1752.67	2190	1788	1336	1315	1274.67	1346	997.667	1223	779.667	1090	1044	2038.5	570	708	1205	982	1804	1251.5	633.5	1308	262.5	2372.5	2623	523	804.5	123806	1836.75	4481.25	2358.67
CELEG.B0024.1	1	0	0	0	3	17	0	1	1	0	0	8	25	63	270.667	48.3333	14.6667	25.3333	2	43.6667	41.5	109.667	116	47.6667	109	70	332	90	20	1046	21	0	1064	8888	57369.5	10082	2484.5	225	5667	17339.5	257601	952	1120.5	367
CELEG.B0024.10	1	0	0	0	2	19	4	3	16	1	1663.5	3240	1487	1162.5	879.667	1249.67	1286.67	1179	980	986.667	1047	883.333	910.5	587	724	667	2084	669	662	1103	529	1870.5	1858.5	746.5	1933	797	4137.5	4209	1187	1193.5	144586	1974.5	4016.25	3118.33
CELEG.B0024.11	1	0	0	0	2	17	0	1	1	2	3251.5	2534	1856	1604.5	1343	2002.67	1802.33	1419.33	1624	1095.33	1473.5	1192.67	1346	760.667	1276	788	3404	811	879	1176	961	1154.5	3361.5	1243.5	2498	718.5	2907.5	3200	1444.5	1283	233060	3152.75	5202.75	4385.67
CELEG.B0024.12	1	0	0	0	3	18	1	1	7	4	443	120	426	554	629.333	915.667	907	664.667	713	528.667	539.5	407	376	247	220	264.5	676	177	241	366	325	286	539.5	280.5	365	308	129	199	275.5	348	71517	359	523.5	411.667
CELEG.B0024.13	1	0	0	0	1	17	0	2	2	0	3322.5	3385	777	345.5	346.333	403	405.333	283	422	329.667	280.5	238.667	312	371.333	334	288	1098.5	273	289	897	571	1464.5	1021.5	509.5	1414	474.5	2664.5	1584	972	858.5	108469	950.25	1960.25	1580.67
CELEG.B0024.14	1	0	0	0	7	21	7	4	38	42	277	405	483	533	456.333	608.333	555.333	674.667	505	980	1247	1646.33	1897	1658.33	1905	1675.5	4537	1454	1214	1241	994	229.5	4775	2067	6833	497	1960	31	1268.5	1080.5	227869	4716.75	13803.8	7630.67
CELEG.B0024.15	1	0	0	0	1	13	0	1	3	0	0	6	1	0	5	2.66667	3.66667	2	0	11.6667	8.5	29.6667	5	71.6667	23	45.5	357.5	83	52	104	61	0	177.5	81	83	36.5	14	0	48.5	44	5950	232.75	417.5	299.333
CELEG.B0024.2	1	0	0	0	3	19	4	1	1	0	13.5	17	39	0	25.6667	19.3333	35.6667	40.6667	0	19.6667	47	58.3333	94.5	87	83	84	96.5	43	50	165	65	5.5	271.5	488.5	1758.5	2367.5	496.5	5	1724.5	4592	148415	20966.2	8870	1167
CELEG.B0024.3	1	0	1	0	2	16	0	0	6	0	105	52	127	106.5	105	185.333	149.667	103	81	68.6667	58.5	29	36	64.6667	51	50.5	427	45	55	100	80	53.5	390.5	55	113.5	38.5	13	0	51.5	45.5	16449	426.25	739.5	499.333
CELEG.B0024.4	1	0	0	0	1	20	3	1	5	1	0	10	12	0	0	6.66667	4.33333	2.33333	7	10.6667	4.5	26.6667	20	112.667	24	43.5	152	44	104	408	298	2.5	96	391	1135	133.5	674.5	0	553	888.5	38710	485.5	161.75	364.667
CELEG.B0024.6	1	0	0	0	6	1	6	17	1	4	3.5	11	17	12	4.66667	8.33333	8.66667	5.33333	25	10	16.5	37	23.5	109.333	29	94	122	61	72	103	55	0	115.5	19	45	1.5	2	0	14	9.5	5137	317.25	662.5	377
CELEG.B0024.8	1	0	0	0	7	13	12	13	6	1	31	46	55.5	21.5	33	60	112.667	161.333	139	379.333	337	796.667	733	1183.67	693	1585	1629.5	1316	1504	1846	1435	15	1313.5	191	297	39.5	88.5	2	259	99.5	64011	1277	2136.25	1486
CELEG.B0024.9	1	0	0	0	7	15	3	4	10	6	3506	2417	1465.5	1575.5	1103.33	1400.33	843	1029.67	909	816.333	1182.5	969.333	789	804.667	727	1043.5	2309	483	722	1162	945	1366.5	3490.5	1185.5	4249.5	2342.5	2240.5	1563	1902.5	2012	215398	3634.25	6150.75	4036.67
CELEG.B0025.1	1	0	0	0	5	22	38	33	2	15	3397	3629	5469	6250	5853.67	8400	6704.33	5620.33	5382	5273.33	6285.5	5315.33	5890	4035.33	5800	5115	6927.5	3470	4272	5683	4094	3019	5040	2299.5	3182.5	633	2245.5	3014	1416	1604.5	411361	8270.75	13592.5	9154.67
CELEG.B0025.2	1	1	1	0	7	15	17	4	6	15	6791.5	10209	8447	7246.5	5784.67	6559	4415	3098	3393	2884.33	3047	2756.67	2689	2012	2284	2019	5102.5	1383	1835	3580	2377	6347.5	4308.5	1750	3379	1124.5	3548.5	4759	2407	2691.5	537997	6431.25	11640.2	7767
CELEG.B0025.4	1	0	0	0	2	15	0	1	4	0	3319	3839	2436.5	2505	1932.33	2144.33	1832.67	1381.33	1210	1174	1075	1036.33	896	737.667	694	729.5	1060	337	399	1183	838	4311.5	670.5	257	352	221.5	683	1624	273.5	429.5	116054	691.25	1622.5	906
CELEG.B0025.5	1	0	0	0	1	8	4	0	2	0	90.5	44	82.5	57.5	40.6667	30.6667	36	20.3333	28	28.3333	20.5	26.6667	23.5	12.3333	41	28.5	18	21	16	131	14	20	16.5	10	338	620	448.5	360	3402.5	305.5	30160	41.75	29	1935.33
CELEG.B0034.1	1	0	0	0	0	22	0	1	9	5	8	21	33.5	9.5	13.6667	34.3333	24	27.6667	12	46.3333	45	55.3333	60	736.333	56	122.5	646.5	103	110	145	392	7	687	190	77.5	121	100.5	0	258.5	319.5	18037	656.5	463	160
CELEG.B0034.2	1	0	0	0	0	12	1	0	1	0	0	0	0	0	0.333333	1	0	0	0	0.333333	1	3	1.5	1	0	1.5	0	0	1	2	0	0	0.5	0	1.5	1	0.5	0	2	0	27	0	0.25	1.66667
CELEG.B0034.3	1	0	0	0	2	30	8	8	43	4	1929	3733	2180	1817	1059.33	1209	1563.67	2592	1076	4585.33	4513.5	10136	11246	23273.3	13982	24623.5	35134.5	23642	25246	23673	24126	1794.5	73798.5	6304.5	15254	1410.5	3150.5	1030	5203	1727	1157202	27719.8	68774.5	38849.7
CELEG.B0034.4	1	0	0	0	1	18	0	0	1	0	0	5	0	0	0.333333	0	7	8.66667	0	11	9	13.6667	10.5	34.6667	8	24	39.5	35	15	14	25	0	52.5	10.5	29	27	21	0	112	13.5	3056	47.5	64	120.667
CELEG.B0034.5	1	1	0	0	1	10	0	0	1	0	16	16	21.5	8	12	10	12.6667	7.33333	0	0.333333	11.5	7.66667	6	26.6667	9	23.5	181	13	30	11	48	12.5	124.5	35	55	21	15.5	0	70	71.5	4710	181	400.25	217.667
CELEG.B0034.7	1	0	0	0	0	13	0	0	4	0	8	14	14	26.5	7.33333	40.3333	27.3333	74.3333	26	173.667	189	641.333	517	751.333	338	1375	398.5	579	1050	2814	1622	8	64	58	54.5	165.5	13.5	0	114	127.5	13359	29.75	32.25	58.6667
CELEG.B0035.10	1	0	0	0	6	15	24	3	4	2	27	24	13.5	30.5	16.6667	33.6667	23.3333	11	23	11.3333	12.5	13.6667	12.5	11	13	4.5	5.5	10	8	10	0	13.5	0.5	2.5	6.5	0.5	1.5	0	19	3.5	701	4.75	15.5	5.66667
CELEG.B0035.11	1	1	1	0	1	19	21	2	1	4	9436	5671	3624	3000	2175.33	2863	2661	2053.67	2107	2236.33	2100.5	1869.67	2099.5	1162.67	1621	1376.5	4115	1054	1193	2082	1323	3646	3561.5	1145.5	2413	909	4403	4250	1151.5	1424	354143	2419.25	4880.75	3244.67
CELEG.B0035.12	1	0	0	0	8	17	19	3	2	4	2746.5	10436	4812	3455	2987	3752.33	3241.67	2827.67	3075	2452	3163.5	2407.33	2828.5	1881	3038	2525	5537	2039	2195	3165	2550	4841	2961	1884	3208	782	5323	12390	1465.5	2341	230096	2514.25	7284.25	5008
CELEG.B0035.13	1	0	0	0	6	18	0	0	1	0	4	7	33	53	21.3333	34	41.6667	16.6667	2	24.3333	33	58.3333	49.5	105	46	88.5	5831.5	66	48	209	106	5.5	14725.5	2821	4211	5731	2957.5	15	4305.5	4281	142897	202.5	164.75	1929
CELEG.B0035.14	1	0	0	0	8	12	1	1	13	1	2094	3542	2610	2750	2731	3844	3580.33	3137.33	3495	3821.67	3995.5	3891.33	4398	3834.33	4120	4301	6396	3504	3877	6838	4633	1975.5	3877	1732.5	3272	1122	3066.5	2872	2023.5	2238.5	298995	3804.5	6586.75	5639.33
CELEG.B0035.15	1	0	0	0	3	14	2	1	5	0	740	1438	687.5	460.5	475.667	665	598.667	652	716	661.667	808.5	802	866.5	636.333	907	810.5	1512	561	677	1607	1093	1022	989	667.5	922.5	429.5	1025.5	935	646.5	952	79916	1070.25	2078.5	1325.33
CELEG.B0035.16	1	0	0	0	7	17	6	2	4	0	397	369	214	96	80.6667	134.333	132.667	132.333	199	101.667	139	187	118	136	198	137	264	128	132	254	138	238.5	215	91	158.5	83.5	249	450	114.5	146.5	20722	395.5	745.5	481.667
CELEG.B0035.18	1	0	0	0	3	14	0	0	4	0	5423	4792	2475	2351	1058.67	589.333	219.333	123	130	61.3333	79.5	61.3333	86	45	78	63.5	117	71	65	109	102	2448.5	47.5	101	551.5	361	1762	885	813.5	145.5	75570	174.5	290.5	247
CELEG.B0035.1	1	0	0	0	3	18	1	2	12	10	13805	14590	11338.5	9752.5	7011.33	8999	9027	8087.67	8476	7387.67	7894.5	6590	7671	4389	7447	5503	7719	4712	5157	7293	4999	9819.5	4583.5	1935	4708	1787.5	6079	7802	1391.5	1733.5	538320	2485	4643.5	4395.33
CELEG.B0035.2	1	0	0	0	1	16	2	3	5	0	1131	2380	1103.5	747	625	1053.67	1128	1170	1267	1288	1655.5	1396	1463	925.667	1180	1167	2130.5	930	1114	2201	1273	932	1388	1050	1518.5	825.5	1158	2439	1258.5	1752.5	145769	1443.75	1797.25	2173
CELEG.B0035.3	1	0	0	0	1	17	0	1	3	0	5518.5	2872	840	440.5	268.667	319.333	204.667	207.667	198	267.333	198.5	195.333	263	251	152	189.5	922	161	273	360	289	2034.5	1591.5	629	1730	790	2993.5	3025	1170.5	1195	134127	1248.5	2016.25	1562.33
CELEG.B0035.4	1	1	0	0	4	14	1	3	7	0	10453	3924	2353.5	2781	1318.67	2074	1317.33	1472.67	1372	1570	1434	1626.33	1513.5	1282.33	1291	1317	2895	854	1446	2756	2921	3531	5274.5	1572	3311.5	3038	3001	2894	2975.5	3347.5	486122	3703.25	3231.25	2587.33
CELEG.B0035.5	1	0	0	0	2	16	20	2	18	5	2450.5	1754	1050.5	909.5	743.333	984.333	863.333	639.333	528	659.333	619.5	641.333	794.5	753.333	734	606.5	5273	655	499	1255	641	894.5	3855	2645	4386.5	1225.5	3116.5	3059	2241	3086	245329	10820.2	11516.8	7842.67
CELEG.B0035.6	1	0	0	0	0	13	3	0	2	2	19349.5	20215	10515.5	6242.5	2546.67	1766.33	1103.67	969	1005	775.667	997	769.333	915	603.333	980	764.5	1239.5	674	819	1008	1018	7587	276	598.5	2091.5	565	7142	9215	600.5	1318.5	307620	1037.25	5076.5	1601.33
CELEG.B0035.7	1	0	0	0	3	13	38	2	3	1	29.5	20	4	12.5	12.6667	18.6667	12	10	7	4	9	7.66667	3	2	6	8	2	1	2	3	2	7.5	0	0.5	0	1	3	2	1	0.5	175	0.5	0	0
CELEG.B0035.8	1	0	0	0	8	22	20	2	4	1	4658.5	25244	16623.5	18776	18611.7	15025.3	21635.3	15806.3	14394	6457	5346.5	1921.67	5484.5	1515	4210	3038.5	2113.5	2459	2282	4454	2535	16415	5	8.5	27.5	21.5	54.5	1072	11	1.5	9581	6.75	7.75	1
CELEG.B0035.9	1	0	0	0	8	15	31	2	3	4	197082	237183	156126	273524	216160	219630	192686	161302	182867	181817	116386	74806.3	74470	39842.3	71258	33467.5	18767	26897	32942	56624	43123	198912	24	27	92.5	154	69	91968	33.5	21	77384	63	213.25	21
CELEG.B0041.1	1	0	0	0	0	13	0	0	2	0	20.5	12	4	15	13	13	11	3.33333	9	20.3333	8.5	8.66667	21	12.6667	15	12.5	9	24	7	9	0	6	2.5	10	76	49	16	0	153.5	18	1935	5.75	9	109.667
